doc_id,file_name,packet,document_type,evidence_role,ai_input_mode,priority_score,selected_chunk_count,has_page_images,has_tables,needs_visual_review,level1_input_path
DOC_1ED749BEB0B8,pulp-and-paper-sourcing-policy.pdf,packaging_wrapper,pdf_document,direct_company_evidence,text_only,59,4,True,False,False,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_1ED749BEB0B8.level1_input.json
DOC_08137C490006,ice_cocoa_futures_optional_screenshot.pdf,cocoa_chocolate_cocoa_butter,pdf_document,benchmark_proxy,visual_priority,56,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_08137C490006.level1_input.json
DOC_B3858C187B41,cocoa_beans_quality_requirements_processing_guide.pdf,cocoa_chocolate_cocoa_butter,pdf_document,process_or_function_context,text_plus_page_images,56,6,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_B3858C187B41.level1_input.json
DOC_FE10C8C34BF6,bls_ppi_packaging_materials_benchmark.pdf,packaging_wrapper,pdf_document,benchmark_proxy,visual_priority,56,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_FE10C8C34BF6.level1_input.json
DOC_23BD14F34CEF,pgpr_market_price_reference.pdf,pgpr,pdf_document,benchmark_proxy,visual_priority,56,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_23BD14F34CEF.level1_input.json
DOC_A2C285FFEE37,pgpr_industry_supplier_function_reference.pdf,pgpr,pdf_document,supplier_relationship_context,visual_priority,56,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_A2C285FFEE37.level1_input.json
DOC_7A2EEB1A9F31,soy_lecithin_market_price_reference.pdf,soy_lecithin,pdf_document,benchmark_proxy,visual_priority,56,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_7A2EEB1A9F31.level1_input.json
DOC_A632502DE1F8,usda_soybean_soybean_oil_price_benchmark.pdf,soy_lecithin,pdf_document,benchmark_proxy,visual_priority,56,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_A632502DE1F8.level1_input.json
DOC_C035EBC878BA,soy_lecithin_industry_supplier_reference.pdf,soy_lecithin,pdf_document,supplier_relationship_context,visual_priority,56,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_C035EBC878BA.level1_input.json
DOC_B28013FB1CA9,dairy_ingredients_in_chocolate_explanation.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,process_or_function_context,visual_priority,51,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_B28013FB1CA9.level1_input.json
DOC_C041385635A5,milk_fat_butterfat_explanation.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,process_or_function_context,visual_priority,51,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_C041385635A5.level1_input.json
DOC_E3E6C7C84910,milk_processing_separation_explanation.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,process_or_function_context,text_only,51,6,False,False,False,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_E3E6C7C84910.level1_input.json
DOC_400268FDC92A,nonfat_dry_milk_skim_milk_explanation.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,process_or_function_context,visual_priority,51,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_400268FDC92A.level1_input.json
DOC_32FA1CD834CD,sugar_cane_beet_processing_explanation.pdf,sugar,pdf_document,process_or_function_context,text_only,51,6,False,False,False,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_32FA1CD834CD.level1_input.json
DOC_C1E296D7AAAC,trucking_rate_market_reference.pdf,logistics_distribution,pdf_document,benchmark_proxy,visual_priority,51,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_C1E296D7AAAC.level1_input.json
DOC_1D4C129E0BD4,fda_flavor_labeling_regulation_reference.pdf,natural_flavor,pdf_document,regulatory_definition,text_plus_page_images,46,6,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_1D4C129E0BD4.level1_input.json
DOC_399D89EF9892,natural_flavor_market_overview_reference.pdf,natural_flavor,pdf_document,benchmark_proxy,visual_priority,46,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_399D89EF9892.level1_input.json
DOC_D22719A8CDC8,flexible_packaging_market_overview_reference.pdf,packaging_wrapper,pdf_document,benchmark_proxy,visual_priority,46,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_D22719A8CDC8.level1_input.json
DOC_BCA0BB066D42,paperboard_packaging_market_overview_reference.pdf,packaging_wrapper,pdf_document,benchmark_proxy,visual_priority,46,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_BCA0BB066D42.level1_input.json
DOC_5BC712652F98,pgpr_market_overview_reference.pdf,pgpr,pdf_document,benchmark_proxy,text_only,46,6,False,False,False,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_5BC712652F98.level1_input.json
DOC_55B0E1DB0BD6,common_carrier_freight_explanation.pdf,logistics_distribution,pdf_document,process_or_function_context,visual_priority,46,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_55B0E1DB0BD6.level1_input.json
DOC_88DAB6FD44D8,cpg_distribution_center_explanation.pdf,logistics_distribution,pdf_document,process_or_function_context,visual_priority,46,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_88DAB6FD44D8.level1_input.json
DOC_41FA1AC07EDD,retail_wholesale_distribution_explanation.pdf,logistics_distribution,pdf_document,process_or_function_context,visual_priority,46,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_41FA1AC07EDD.level1_input.json
DOC_F0190DCF0884,natural_flavor_declaration_fda_definition_reference.pdf,natural_flavor,pdf_document,regulatory_definition,text_only,42,7,True,False,False,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_F0190DCF0884.level1_input.json
